"","origin","destination","amount","year"
"423","Waikato","Otago",9,"2002"
"424","Lakes","Otago",3,"2002"
"425","Bay of Plenty","Otago",9,"2002"
"426","Tairawhiti","Otago",0,"2002"
"427","Taranaki","Otago",9,"2002"
"428","Hawkes Bay","Otago",11,"2002"
"429","Mid Central","Otago",6,"2002"
"430","Whanganui","Otago",0,"2002"
"431","Capital and Coast","Otago",37,"2002"
"432","Hutt","Otago",14,"2002"
"433","Wairarapa","Otago",2,"2002"
"434","Nelson Marlborough","Otago",30,"2002"
"435","West Coast","Otago",10,"2002"
"436","Canterbury","Otago",64,"2002"
"437","South Canterbury","Otago",44,"2002"
"438","Otago","Otago",5599,"2002"
"439","Southland","Otago",128,"2002"
"440","Unknown","Otago",12,"2002"
"441","Northland","Southland",4,"2002"
"442","Waitemata","Southland",6,"2002"
"443","Auckland","Southland",7,"2002"
"444","Counties Manukau","Southland",4,"2002"
"445","Waikato","Southland",12,"2002"
"446","Lakes","Southland",4,"2002"
"447","Bay of Plenty","Southland",5,"2002"
"448","Tairawhiti","Southland",0,"2002"
"449","Taranaki","Southland",4,"2002"
"450","Hawkes Bay","Southland",7,"2002"
"451","Mid Central","Southland",3,"2002"
"452","Whanganui","Southland",1,"2002"
"453","Capital and Coast","Southland",10,"2002"
"454","Hutt","Southland",6,"2002"
"455","Wairarapa","Southland",0,"2002"
"456","Nelson Marlborough","Southland",12,"2002"
"457","West Coast","Southland",8,"2002"
"458","Canterbury","Southland",38,"2002"
"459","South Canterbury","Southland",17,"2002"
"460","Otago","Southland",201,"2002"
"461","Southland","Southland",2732,"2002"
"462","Unknown","Southland",3,"2002"
"463","Northland","Northland",3137,"2003"
"464","Waitemata","Northland",137,"2003"
"465","Auckland","Northland",106,"2003"
"466","Counties Manukau","Northland",60,"2003"
"467","Waikato","Northland",43,"2003"
"468","Lakes","Northland",18,"2003"
"469","Bay of Plenty","Northland",18,"2003"
"470","Tairawhiti","Northland",2,"2003"
"471","Taranaki","Northland",11,"2003"
"472","Hawkes Bay","Northland",9,"2003"
"473","Mid Central","Northland",8,"2003"
"474","Whanganui","Northland",6,"2003"
"475","Capital and Coast","Northland",115,"2003"
"476","Hutt","Northland",5,"2003"
"477","Wairarapa","Northland",2,"2003"
"478","Nelson Marlborough","Northland",3,"2003"
"479","West Coast","Northland",2,"2003"
"480","Canterbury","Northland",11,"2003"
"481","South Canterbury","Northland",3,"2003"
"482","Otago","Northland",7,"2003"
"483","Southland","Northland",0,"2003"
"484","Unknown","Northland",13,"2003"
"485","Northland","Waitemata",356,"2003"
"486","Waitemata","Waitemata",9256,"2003"
"487","Auckland","Waitemata",3149,"2003"
"488","Counties Manukau","Waitemata",1580,"2003"
"489","Waikato","Waitemata",193,"2003"
"490","Lakes","Waitemata",97,"2003"
"491","Bay of Plenty","Waitemata",81,"2003"
"492","Tairawhiti","Waitemata",23,"2003"
"493","Taranaki","Waitemata",53,"2003"
"494","Hawkes Bay","Waitemata",32,"2003"
"495","Mid Central","Waitemata",28,"2003"
"496","Whanganui","Waitemata",21,"2003"
"497","Capital and Coast","Waitemata",53,"2003"
"498","Hutt","Waitemata",35,"2003"
"499","Wairarapa","Waitemata",6,"2003"
"500","Nelson Marlborough","Waitemata",24,"2003"
"501","West Coast","Waitemata",9,"2003"
"502","Canterbury","Waitemata",43,"2003"
"503","South Canterbury","Waitemata",6,"2003"
"504","Otago","Waitemata",25,"2003"
"505","Southland","Waitemata",14,"2003"
"506","Unknown","Waitemata",181,"2003"
"507","Northland","Auckland",59,"2003"
"508","Waitemata","Auckland",720,"2003"
"509","Auckland","Auckland",5485,"2003"
"510","Counties Manukau","Auckland",270,"2003"
"511","Waikato","Auckland",67,"2003"
"512","Lakes","Auckland",19,"2003"
"513","Bay of Plenty","Auckland",29,"2003"
"514","Tairawhiti","Auckland",13,"2003"
"515","Taranaki","Auckland",9,"2003"
"516","Hawkes Bay","Auckland",17,"2003"
"517","Mid Central","Auckland",14,"2003"
"518","Whanganui","Auckland",5,"2003"
"519","Capital and Coast","Auckland",36,"2003"
"520","Hutt","Auckland",15,"2003"
"521","Wairarapa","Auckland",2,"2003"
"522","Nelson Marlborough","Auckland",6,"2003"
"523","West Coast","Auckland",0,"2003"
"524","Canterbury","Auckland",13,"2003"
"525","South Canterbury","Auckland",1,"2003"
"526","Otago","Auckland",9,"2003"
"527","Southland","Auckland",4,"2003"
"528","Unknown","Auckland",26,"2003"
"529","Northland","Counties Manukau",81,"2003"
"530","Waitemata","Counties Manukau",155,"2003"
"531","Auckland","Counties Manukau",569,"2003"
"532","Counties Manukau","Counties Manukau",4469,"2003"
"533","Waikato","Counties Manukau",103,"2003"
"534","Lakes","Counties Manukau",20,"2003"
"535","Bay of Plenty","Counties Manukau",40,"2003"
"536","Tairawhiti","Counties Manukau",0,"2003"
"537","Taranaki","Counties Manukau",19,"2003"
"538","Hawkes Bay","Counties Manukau",13,"2003"
"539","Mid Central","Counties Manukau",16,"2003"
"540","Whanganui","Counties Manukau",16,"2003"
"541","Capital and Coast","Counties Manukau",30,"2003"
"542","Hutt","Counties Manukau",18,"2003"
"543","Wairarapa","Counties Manukau",2,"2003"
"544","Nelson Marlborough","Counties Manukau",8,"2003"
"545","West Coast","Counties Manukau",3,"2003"
"546","Canterbury","Counties Manukau",21,"2003"
"547","South Canterbury","Counties Manukau",0,"2003"
"548","Otago","Counties Manukau",5,"2003"
"549","Southland","Counties Manukau",3,"2003"
"550","Unknown","Counties Manukau",17,"2003"
"551","Northland","Waikato",33,"2003"
"552","Waitemata","Waikato",64,"2003"
"553","Auckland","Waikato",75,"2003"
"554","Counties Manukau","Waikato",60,"2003"
"555","Waikato","Waikato",7003,"2003"
"556","Lakes","Waikato",184,"2003"
"557","Bay of Plenty","Waikato",234,"2003"
"558","Tairawhiti","Waikato",12,"2003"
"559","Taranaki","Waikato",120,"2003"
"560","Hawkes Bay","Waikato",22,"2003"
"561","Mid Central","Waikato",16,"2003"
"562","Whanganui","Waikato",13,"2003"
"563","Capital and Coast","Waikato",21,"2003"
"564","Hutt","Waikato",18,"2003"
"565","Wairarapa","Waikato",3,"2003"
"566","Nelson Marlborough","Waikato",5,"2003"
"567","West Coast","Waikato",2,"2003"
"568","Canterbury","Waikato",13,"2003"
"569","South Canterbury","Waikato",1,"2003"
"570","Otago","Waikato",6,"2003"
"571","Southland","Waikato",6,"2003"
"572","Unknown","Waikato",6,"2003"
"573","Northland","Lakes",7,"2003"
"574","Waitemata","Lakes",23,"2003"
"575","Auckland","Lakes",27,"2003"
"576","Counties Manukau","Lakes",17,"2003"
"577","Waikato","Lakes",78,"2003"
"578","Lakes","Lakes",2189,"2003"
"579","Bay of Plenty","Lakes",81,"2003"
"580","Tairawhiti","Lakes",6,"2003"
"581","Taranaki","Lakes",4,"2003"
"582","Hawkes Bay","Lakes",28,"2003"
"583","Mid Central","Lakes",10,"2003"
"584","Whanganui","Lakes",6,"2003"
"585","Capital and Coast","Lakes",19,"2003"
"586","Hutt","Lakes",10,"2003"
"587","Wairarapa","Lakes",3,"2003"
"588","Nelson Marlborough","Lakes",2,"2003"
"589","West Coast","Lakes",1,"2003"
"590","Canterbury","Lakes",6,"2003"
"591","South Canterbury","Lakes",1,"2003"
"592","Otago","Lakes",3,"2003"
"593","Southland","Lakes",3,"2003"
"594","Unknown","Lakes",4,"2003"
"595","Northland","Bay of Plenty",10,"2003"
"596","Waitemata","Bay of Plenty",23,"2003"
"597","Auckland","Bay of Plenty",30,"2003"
"598","Counties Manukau","Bay of Plenty",22,"2003"
"599","Waikato","Bay of Plenty",103,"2003"
"600","Lakes","Bay of Plenty",58,"2003"
"601","Bay of Plenty","Bay of Plenty",4993,"2003"
"602","Tairawhiti","Bay of Plenty",10,"2003"
"603","Taranaki","Bay of Plenty",12,"2003"
"604","Hawkes Bay","Bay of Plenty",23,"2003"
"605","Mid Central","Bay of Plenty",8,"2003"
"606","Whanganui","Bay of Plenty",9,"2003"
"607","Capital and Coast","Bay of Plenty",9,"2003"
"608","Hutt","Bay of Plenty",8,"2003"
"609","Wairarapa","Bay of Plenty",1,"2003"
"610","Nelson Marlborough","Bay of Plenty",6,"2003"
"611","West Coast","Bay of Plenty",0,"2003"
"612","Canterbury","Bay of Plenty",7,"2003"
"613","South Canterbury","Bay of Plenty",0,"2003"
"614","Otago","Bay of Plenty",10,"2003"
"615","Southland","Bay of Plenty",5,"2003"
