"","origin","destination","amount","year"
"3547","Waikato","Wairarapa",0,"2010"
"3548","Lakes","Wairarapa",0,"2010"
"3549","Bay of Plenty","Wairarapa",0,"2010"
"3550","Tairawhiti","Wairarapa",0,"2010"
"3551","Taranaki","Wairarapa",0,"2010"
"3552","Hawkes Bay","Wairarapa",0,"2010"
"3553","Mid Central","Wairarapa",0,"2010"
"3554","Whanganui","Wairarapa",0,"2010"
"3555","Capital and Coast","Wairarapa",0,"2010"
"3556","Hutt","Wairarapa",0,"2010"
"3557","Wairarapa","Wairarapa",1016,"2010"
"3558","Nelson Marlborough","Wairarapa",0,"2010"
"3559","West Coast","Wairarapa",0,"2010"
"3560","Canterbury","Wairarapa",0,"2010"
"3561","South Canterbury","Wairarapa",0,"2010"
"3562","Otago","Wairarapa",0,"2010"
"3563","Southland","Wairarapa",0,"2010"
"3564","Unknown","Wairarapa",0,"2010"
"3565","Northland","Nelson Marlborough",0,"2010"
"3566","Waitemata","Nelson Marlborough",0,"2010"
"3567","Auckland","Nelson Marlborough",0,"2010"
"3568","Counties Manukau","Nelson Marlborough",0,"2010"
"3569","Waikato","Nelson Marlborough",0,"2010"
"3570","Lakes","Nelson Marlborough",0,"2010"
"3571","Bay of Plenty","Nelson Marlborough",0,"2010"
"3572","Tairawhiti","Nelson Marlborough",0,"2010"
"3573","Taranaki","Nelson Marlborough",0,"2010"
"3574","Hawkes Bay","Nelson Marlborough",0,"2010"
"3575","Mid Central","Nelson Marlborough",0,"2010"
"3576","Whanganui","Nelson Marlborough",0,"2010"
"3577","Capital and Coast","Nelson Marlborough",0,"2010"
"3578","Hutt","Nelson Marlborough",0,"2010"
"3579","Wairarapa","Nelson Marlborough",0,"2010"
"3580","Nelson Marlborough","Nelson Marlborough",4090,"2010"
"3581","West Coast","Nelson Marlborough",0,"2010"
"3582","Canterbury","Nelson Marlborough",0,"2010"
"3583","South Canterbury","Nelson Marlborough",0,"2010"
"3584","Otago","Nelson Marlborough",0,"2010"
"3585","Southland","Nelson Marlborough",0,"2010"
"3586","Unknown","Nelson Marlborough",0,"2010"
"3587","Northland","West Coast",0,"2010"
"3588","Waitemata","West Coast",0,"2010"
"3589","Auckland","West Coast",0,"2010"
"3590","Counties Manukau","West Coast",0,"2010"
"3591","Waikato","West Coast",0,"2010"
"3592","Lakes","West Coast",0,"2010"
"3593","Bay of Plenty","West Coast",0,"2010"
"3594","Tairawhiti","West Coast",0,"2010"
"3595","Taranaki","West Coast",0,"2010"
"3596","Hawkes Bay","West Coast",0,"2010"
"3597","Mid Central","West Coast",0,"2010"
"3598","Whanganui","West Coast",0,"2010"
"3599","Capital and Coast","West Coast",0,"2010"
"3600","Hutt","West Coast",0,"2010"
"3601","Wairarapa","West Coast",0,"2010"
"3602","Nelson Marlborough","West Coast",0,"2010"
"3603","West Coast","West Coast",1223,"2010"
"3604","Canterbury","West Coast",0,"2010"
"3605","South Canterbury","West Coast",0,"2010"
"3606","Otago","West Coast",0,"2010"
"3607","Southland","West Coast",0,"2010"
"3608","Unknown","West Coast",0,"2010"
"3609","Northland","Canterbury",0,"2010"
"3610","Waitemata","Canterbury",0,"2010"
"3611","Auckland","Canterbury",0,"2010"
"3612","Counties Manukau","Canterbury",0,"2010"
"3613","Waikato","Canterbury",0,"2010"
"3614","Lakes","Canterbury",0,"2010"
"3615","Bay of Plenty","Canterbury",0,"2010"
"3616","Tairawhiti","Canterbury",0,"2010"
"3617","Taranaki","Canterbury",0,"2010"
"3618","Hawkes Bay","Canterbury",0,"2010"
"3619","Mid Central","Canterbury",0,"2010"
"3620","Whanganui","Canterbury",0,"2010"
"3621","Capital and Coast","Canterbury",0,"2010"
"3622","Hutt","Canterbury",0,"2010"
"3623","Wairarapa","Canterbury",0,"2010"
"3624","Nelson Marlborough","Canterbury",0,"2010"
"3625","West Coast","Canterbury",0,"2010"
"3626","Canterbury","Canterbury",11227,"2010"
"3627","South Canterbury","Canterbury",0,"2010"
"3628","Otago","Canterbury",0,"2010"
"3629","Southland","Canterbury",0,"2010"
"3630","Unknown","Canterbury",0,"2010"
"3631","Northland","South Canterbury",0,"2010"
"3632","Waitemata","South Canterbury",0,"2010"
"3633","Auckland","South Canterbury",0,"2010"
"3634","Counties Manukau","South Canterbury",0,"2010"
"3635","Waikato","South Canterbury",0,"2010"
"3636","Lakes","South Canterbury",0,"2010"
"3637","Bay of Plenty","South Canterbury",0,"2010"
"3638","Tairawhiti","South Canterbury",0,"2010"
"3639","Taranaki","South Canterbury",0,"2010"
"3640","Hawkes Bay","South Canterbury",0,"2010"
"3641","Mid Central","South Canterbury",0,"2010"
"3642","Whanganui","South Canterbury",0,"2010"
"3643","Capital and Coast","South Canterbury",0,"2010"
"3644","Hutt","South Canterbury",0,"2010"
"3645","Wairarapa","South Canterbury",0,"2010"
"3646","Nelson Marlborough","South Canterbury",0,"2010"
"3647","West Coast","South Canterbury",0,"2010"
"3648","Canterbury","South Canterbury",0,"2010"
"3649","South Canterbury","South Canterbury",1201,"2010"
"3650","Otago","South Canterbury",0,"2010"
"3651","Southland","South Canterbury",0,"2010"
"3652","Unknown","South Canterbury",0,"2010"
"3653","Northland","Otago",0,"2010"
"3654","Waitemata","Otago",0,"2010"
"3655","Auckland","Otago",0,"2010"
"3656","Counties Manukau","Otago",0,"2010"
"3657","Waikato","Otago",0,"2010"
"3658","Lakes","Otago",0,"2010"
"3659","Bay of Plenty","Otago",0,"2010"
"3660","Tairawhiti","Otago",0,"2010"
"3661","Taranaki","Otago",0,"2010"
"3662","Hawkes Bay","Otago",0,"2010"
"3663","Mid Central","Otago",0,"2010"
"3664","Whanganui","Otago",0,"2010"
"3665","Capital and Coast","Otago",0,"2010"
"3666","Hutt","Otago",0,"2010"
"3667","Wairarapa","Otago",0,"2010"
"3668","Nelson Marlborough","Otago",0,"2010"
"3669","West Coast","Otago",0,"2010"
"3670","Canterbury","Otago",0,"2010"
"3671","South Canterbury","Otago",0,"2010"
"3672","Otago","Otago",5560,"2010"
"3673","Southland","Otago",0,"2010"
"3674","Unknown","Otago",0,"2010"
"3675","Northland","Southland",0,"2010"
"3676","Waitemata","Southland",0,"2010"
"3677","Auckland","Southland",0,"2010"
"3678","Counties Manukau","Southland",0,"2010"
"3679","Waikato","Southland",0,"2010"
"3680","Lakes","Southland",0,"2010"
"3681","Bay of Plenty","Southland",0,"2010"
"3682","Tairawhiti","Southland",0,"2010"
"3683","Taranaki","Southland",0,"2010"
"3684","Hawkes Bay","Southland",0,"2010"
"3685","Mid Central","Southland",0,"2010"
"3686","Whanganui","Southland",0,"2010"
"3687","Capital and Coast","Southland",0,"2010"
"3688","Hutt","Southland",0,"2010"
"3689","Wairarapa","Southland",0,"2010"
"3690","Nelson Marlborough","Southland",0,"2010"
"3691","West Coast","Southland",0,"2010"
"3692","Canterbury","Southland",0,"2010"
"3693","South Canterbury","Southland",0,"2010"
"3694","Otago","Southland",0,"2010"
"3695","Southland","Southland",2939,"2010"
"3696","Unknown","Southland",0,"2010"
"3697","Northland","Unknown",0,"2010"
"3698","Waitemata","Unknown",0,"2010"
"3699","Auckland","Unknown",0,"2010"
"3700","Counties Manukau","Unknown",0,"2010"
"3701","Waikato","Unknown",0,"2010"
"3702","Lakes","Unknown",0,"2010"
"3703","Bay of Plenty","Unknown",0,"2010"
"3704","Tairawhiti","Unknown",0,"2010"
"3705","Taranaki","Unknown",0,"2010"
"3706","Hawkes Bay","Unknown",0,"2010"
"3707","Mid Central","Unknown",0,"2010"
"3708","Whanganui","Unknown",0,"2010"
"3709","Capital and Coast","Unknown",0,"2010"
"3710","Hutt","Unknown",0,"2010"
"3711","Wairarapa","Unknown",0,"2010"
"3712","Nelson Marlborough","Unknown",0,"2010"
"3713","West Coast","Unknown",0,"2010"
"3714","Canterbury","Unknown",0,"2010"
"3715","South Canterbury","Unknown",0,"2010"
"3716","Otago","Unknown",0,"2010"
"3717","Southland","Unknown",0,"2010"
"3718","Unknown","Unknown",238,"2010"
"3719","Northland","Northland",5066,"2011"
"3720","Waitemata","Northland",186,"2011"
"3721","Auckland","Northland",125,"2011"
"3722","Counties Manukau","Northland",130,"2011"
"3723","Waikato","Northland",64,"2011"
"3724","Lakes","Northland",16,"2011"
"3725","Bay of Plenty","Northland",29,"2011"
"3726","Tairawhiti","Northland",4,"2011"
"3727","Taranaki","Northland",11,"2011"
"3728","Hawkes Bay","Northland",10,"2011"
"3729","Mid Central","Northland",14,"2011"
"3730","Whanganui","Northland",9,"2011"
"3731","Capital and Coast","Northland",22,"2011"
"3732","Hutt","Northland",9,"2011"
"3733","Wairarapa","Northland",3,"2011"
"3734","Nelson Marlborough","Northland",10,"2011"
"3735","West Coast","Northland",2,"2011"
"3736","Canterbury","Northland",24,"2011"
"3737","South Canterbury","Northland",6,"2011"
"3738","Otago","Northland",0,"2011"
"3739","Southland","Northland",23,"2011"
"3740","Unknown","Northland",12,"2011"
"3741","Northland","Waitemata",476,"2011"
"3742","Waitemata","Waitemata",15459,"2011"
"3743","Auckland","Waitemata",5990,"2011"
"3744","Counties Manukau","Waitemata",5321,"2011"
"3745","Waikato","Waitemata",355,"2011"
"3746","Lakes","Waitemata",119,"2011"
"3747","Bay of Plenty","Waitemata",144,"2011"
"3748","Tairawhiti","Waitemata",28,"2011"
"3749","Taranaki","Waitemata",40,"2011"
"3750","Hawkes Bay","Waitemata",79,"2011"
"3751","Mid Central","Waitemata",58,"2011"
"3752","Whanganui","Waitemata",31,"2011"
"3753","Capital and Coast","Waitemata",94,"2011"
"3754","Hutt","Waitemata",44,"2011"
"3755","Wairarapa","Waitemata",11,"2011"
"3756","Nelson Marlborough","Waitemata",32,"2011"
"3757","West Coast","Waitemata",5,"2011"
"3758","Canterbury","Waitemata",88,"2011"
"3759","South Canterbury","Waitemata",8,"2011"
"3760","Otago","Waitemata",0,"2011"
"3761","Southland","Waitemata",72,"2011"
"3762","Unknown","Waitemata",65,"2011"
"3763","Northland","Auckland",109,"2011"
"3764","Waitemata","Auckland",1048,"2011"
"3765","Auckland","Auckland",8551,"2011"
"3766","Counties Manukau","Auckland",624,"2011"
"3767","Waikato","Auckland",153,"2011"
"3768","Lakes","Auckland",35,"2011"
"3769","Bay of Plenty","Auckland",76,"2011"
"3770","Tairawhiti","Auckland",9,"2011"
"3771","Taranaki","Auckland",28,"2011"
"3772","Hawkes Bay","Auckland",32,"2011"
"3773","Mid Central","Auckland",30,"2011"
"3774","Whanganui","Auckland",16,"2011"
"3775","Capital and Coast","Auckland",75,"2011"
"3776","Hutt","Auckland",22,"2011"
"3777","Wairarapa","Auckland",10,"2011"
"3778","Nelson Marlborough","Auckland",19,"2011"
"3779","West Coast","Auckland",3,"2011"
"3780","Canterbury","Auckland",67,"2011"
"3781","South Canterbury","Auckland",4,"2011"
"3782","Otago","Auckland",0,"2011"
"3783","Southland","Auckland",33,"2011"
"3784","Unknown","Auckland",44,"2011"
"3785","Northland","Counties Manukau",109,"2011"
"3786","Waitemata","Counties Manukau",386,"2011"
"3787","Auckland","Counties Manukau",1113,"2011"
"3788","Counties Manukau","Counties Manukau",10812,"2011"
"3789","Waikato","Counties Manukau",171,"2011"
"3790","Lakes","Counties Manukau",50,"2011"
"3791","Bay of Plenty","Counties Manukau",59,"2011"
"3792","Tairawhiti","Counties Manukau",15,"2011"
"3793","Taranaki","Counties Manukau",18,"2011"
"3794","Hawkes Bay","Counties Manukau",28,"2011"
"3795","Mid Central","Counties Manukau",34,"2011"
"3796","Whanganui","Counties Manukau",11,"2011"
"3797","Capital and Coast","Counties Manukau",46,"2011"
"3798","Hutt","Counties Manukau",29,"2011"
"3799","Wairarapa","Counties Manukau",1,"2011"
"3800","Nelson Marlborough","Counties Manukau",14,"2011"
"3801","West Coast","Counties Manukau",3,"2011"
"3802","Canterbury","Counties Manukau",74,"2011"
"3803","South Canterbury","Counties Manukau",4,"2011"
"3804","Otago","Counties Manukau",0,"2011"
"3805","Southland","Counties Manukau",25,"2011"
"3806","Unknown","Counties Manukau",33,"2011"
"3807","Northland","Waikato",46,"2011"
"3808","Waitemata","Waikato",110,"2011"
"3809","Auckland","Waikato",145,"2011"
"3810","Counties Manukau","Waikato",140,"2011"
"3811","Waikato","Waikato",8973,"2011"
"3812","Lakes","Waikato",208,"2011"
"3813","Bay of Plenty","Waikato",270,"2011"
"3814","Tairawhiti","Waikato",21,"2011"
"3815","Taranaki","Waikato",122,"2011"
"3816","Hawkes Bay","Waikato",39,"2011"
"3817","Mid Central","Waikato",22,"2011"
"3818","Whanganui","Waikato",23,"2011"
"3819","Capital and Coast","Waikato",61,"2011"
"3820","Hutt","Waikato",32,"2011"
"3821","Wairarapa","Waikato",4,"2011"
"3822","Nelson Marlborough","Waikato",16,"2011"
"3823","West Coast","Waikato",5,"2011"
"3824","Canterbury","Waikato",39,"2011"
"3825","South Canterbury","Waikato",5,"2011"
"3826","Otago","Waikato",0,"2011"
"3827","Southland","Waikato",49,"2011"
"3828","Unknown","Waikato",127,"2011"
"3829","Northland","Lakes",18,"2011"
"3830","Waitemata","Lakes",38,"2011"
"3831","Auckland","Lakes",37,"2011"
"3832","Counties Manukau","Lakes",36,"2011"
"3833","Waikato","Lakes",107,"2011"
"3834","Lakes","Lakes",2762,"2011"
"3835","Bay of Plenty","Lakes",127,"2011"
"3836","Tairawhiti","Lakes",6,"2011"
"3837","Taranaki","Lakes",10,"2011"
"3838","Hawkes Bay","Lakes",30,"2011"
"3839","Mid Central","Lakes",17,"2011"
"3840","Whanganui","Lakes",13,"2011"
"3841","Capital and Coast","Lakes",21,"2011"
"3842","Hutt","Lakes",13,"2011"
"3843","Wairarapa","Lakes",3,"2011"
"3844","Nelson Marlborough","Lakes",8,"2011"
"3845","West Coast","Lakes",4,"2011"
"3846","Canterbury","Lakes",17,"2011"
"3847","South Canterbury","Lakes",0,"2011"
"3848","Otago","Lakes",0,"2011"
"3849","Southland","Lakes",18,"2011"
"3850","Unknown","Lakes",14,"2011"
"3851","Northland","Bay of Plenty",23,"2011"
"3852","Waitemata","Bay of Plenty",43,"2011"
"3853","Auckland","Bay of Plenty",62,"2011"
"3854","Counties Manukau","Bay of Plenty",41,"2011"
"3855","Waikato","Bay of Plenty",168,"2011"
"3856","Lakes","Bay of Plenty",87,"2011"
"3857","Bay of Plenty","Bay of Plenty",7037,"2011"
"3858","Tairawhiti","Bay of Plenty",22,"2011"
"3859","Taranaki","Bay of Plenty",14,"2011"
"3860","Hawkes Bay","Bay of Plenty",22,"2011"
"3861","Mid Central","Bay of Plenty",24,"2011"
"3862","Whanganui","Bay of Plenty",11,"2011"
"3863","Capital and Coast","Bay of Plenty",27,"2011"
"3864","Hutt","Bay of Plenty",8,"2011"
"3865","Wairarapa","Bay of Plenty",6,"2011"
"3866","Nelson Marlborough","Bay of Plenty",14,"2011"
"3867","West Coast","Bay of Plenty",1,"2011"
"3868","Canterbury","Bay of Plenty",29,"2011"
"3869","South Canterbury","Bay of Plenty",1,"2011"
"3870","Otago","Bay of Plenty",0,"2011"
"3871","Southland","Bay of Plenty",17,"2011"
"3872","Unknown","Bay of Plenty",10,"2011"
"3873","Northland","Tairawhiti",5,"2011"
"3874","Waitemata","Tairawhiti",6,"2011"
"3875","Auckland","Tairawhiti",7,"2011"
"3876","Counties Manukau","Tairawhiti",8,"2011"
"3877","Waikato","Tairawhiti",21,"2011"
"3878","Lakes","Tairawhiti",10,"2011"
"3879","Bay of Plenty","Tairawhiti",18,"2011"
"3880","Tairawhiti","Tairawhiti",1769,"2011"
"3881","Taranaki","Tairawhiti",1,"2011"
"3882","Hawkes Bay","Tairawhiti",36,"2011"
"3883","Mid Central","Tairawhiti",11,"2011"
"3884","Whanganui","Tairawhiti",3,"2011"
"3885","Capital and Coast","Tairawhiti",37,"2011"
"3886","Hutt","Tairawhiti",8,"2011"
"3887","Wairarapa","Tairawhiti",2,"2011"
"3888","Nelson Marlborough","Tairawhiti",4,"2011"
"3889","West Coast","Tairawhiti",0,"2011"
"3890","Canterbury","Tairawhiti",5,"2011"
"3891","South Canterbury","Tairawhiti",0,"2011"
"3892","Otago","Tairawhiti",0,"2011"
"3893","Southland","Tairawhiti",3,"2011"
"3894","Unknown","Tairawhiti",30,"2011"
"3895","Northland","Taranaki",5,"2011"
"3896","Waitemata","Taranaki",23,"2011"
"3897","Auckland","Taranaki",14,"2011"
"3898","Counties Manukau","Taranaki",13,"2011"
"3899","Waikato","Taranaki",27,"2011"
"3900","Lakes","Taranaki",5,"2011"
"3901","Bay of Plenty","Taranaki",15,"2011"
"3902","Tairawhiti","Taranaki",1,"2011"
"3903","Taranaki","Taranaki",3861,"2011"
"3904","Hawkes Bay","Taranaki",11,"2011"
"3905","Mid Central","Taranaki",16,"2011"
"3906","Whanganui","Taranaki",22,"2011"
"3907","Capital and Coast","Taranaki",13,"2011"
"3908","Hutt","Taranaki",14,"2011"
"3909","Wairarapa","Taranaki",5,"2011"
"3910","Nelson Marlborough","Taranaki",4,"2011"
"3911","West Coast","Taranaki",2,"2011"
"3912","Canterbury","Taranaki",8,"2011"
"3913","South Canterbury","Taranaki",1,"2011"
"3914","Otago","Taranaki",0,"2011"
"3915","Southland","Taranaki",10,"2011"
"3916","Unknown","Taranaki",3,"2011"
"3917","Northland","Hawkes Bay",6,"2011"
"3918","Waitemata","Hawkes Bay",8,"2011"
"3919","Auckland","Hawkes Bay",30,"2011"
"3920","Counties Manukau","Hawkes Bay",21,"2011"
"3921","Waikato","Hawkes Bay",39,"2011"
"3922","Lakes","Hawkes Bay",21,"2011"
"3923","Bay of Plenty","Hawkes Bay",17,"2011"
"3924","Tairawhiti","Hawkes Bay",24,"2011"
"3925","Taranaki","Hawkes Bay",11,"2011"
"3926","Hawkes Bay","Hawkes Bay",4357,"2011"
"3927","Mid Central","Hawkes Bay",50,"2011"
"3928","Whanganui","Hawkes Bay",15,"2011"
"3929","Capital and Coast","Hawkes Bay",68,"2011"
"3930","Hutt","Hawkes Bay",17,"2011"
"3931","Wairarapa","Hawkes Bay",13,"2011"
"3932","Nelson Marlborough","Hawkes Bay",6,"2011"
"3933","West Coast","Hawkes Bay",0,"2011"
"3934","Canterbury","Hawkes Bay",23,"2011"
"3935","South Canterbury","Hawkes Bay",1,"2011"
"3936","Otago","Hawkes Bay",0,"2011"
"3937","Southland","Hawkes Bay",13,"2011"
"3938","Unknown","Hawkes Bay",3,"2011"
"3939","Northland","Mid Central",17,"2011"
"3940","Waitemata","Mid Central",12,"2011"
"3941","Auckland","Mid Central",16,"2011"
"3942","Counties Manukau","Mid Central",11,"2011"
"3943","Waikato","Mid Central",27,"2011"
"3944","Lakes","Mid Central",9,"2011"
"3945","Bay of Plenty","Mid Central",13,"2011"
"3946","Tairawhiti","Mid Central",6,"2011"
"3947","Taranaki","Mid Central",18,"2011"
"3948","Hawkes Bay","Mid Central",28,"2011"
"3949","Mid Central","Mid Central",3866,"2011"
"3950","Whanganui","Mid Central",66,"2011"
"3951","Capital and Coast","Mid Central",89,"2011"
"3952","Hutt","Mid Central",29,"2011"
"3953","Wairarapa","Mid Central",37,"2011"
"3954","Nelson Marlborough","Mid Central",13,"2011"
"3955","West Coast","Mid Central",2,"2011"
"3956","Canterbury","Mid Central",18,"2011"
"3957","South Canterbury","Mid Central",1,"2011"
"3958","Otago","Mid Central",0,"2011"
"3959","Southland","Mid Central",13,"2011"
"3960","Unknown","Mid Central",7,"2011"
"3961","Northland","Whanganui",3,"2011"
"3962","Waitemata","Whanganui",13,"2011"
"3963","Auckland","Whanganui",11,"2011"
"3964","Counties Manukau","Whanganui",6,"2011"
"3965","Waikato","Whanganui",11,"2011"
"3966","Lakes","Whanganui",7,"2011"
"3967","Bay of Plenty","Whanganui",11,"2011"
"3968","Tairawhiti","Whanganui",1,"2011"
"3969","Taranaki","Whanganui",36,"2011"
"3970","Hawkes Bay","Whanganui",9,"2011"
"3971","Mid Central","Whanganui",56,"2011"
"3972","Whanganui","Whanganui",2243,"2011"
"3973","Capital and Coast","Whanganui",25,"2011"
"3974","Hutt","Whanganui",15,"2011"
"3975","Wairarapa","Whanganui",5,"2011"
"3976","Nelson Marlborough","Whanganui",4,"2011"
"3977","West Coast","Whanganui",2,"2011"
"3978","Canterbury","Whanganui",6,"2011"
"3979","South Canterbury","Whanganui",0,"2011"
"3980","Otago","Whanganui",0,"2011"
"3981","Southland","Whanganui",6,"2011"
"3982","Unknown","Whanganui",1,"2011"
"3983","Northland","Capital & Coast",18,"2011"
"3984","Waitemata","Capital & Coast",54,"2011"
"3985","Auckland","Capital & Coast",82,"2011"
"3986","Counties Manukau","Capital & Coast",41,"2011"
"3987","Waikato","Capital & Coast",73,"2011"
"3988","Lakes","Capital & Coast",21,"2011"
"3989","Bay of Plenty","Capital & Coast",33,"2011"
"3990","Tairawhiti","Capital & Coast",77,"2011"
"3991","Taranaki","Capital & Coast",74,"2011"
"3992","Hawkes Bay","Capital & Coast",274,"2011"
"3993","Mid Central","Capital & Coast",358,"2011"
"3994","Whanganui","Capital & Coast",232,"2011"
"3995","Capital and Coast","Capital & Coast",5949,"2011"
"3996","Hutt","Capital & Coast",768,"2011"
"3997","Wairarapa","Capital & Coast",106,"2011"
"3998","Nelson Marlborough","Capital & Coast",44,"2011"
"3999","West Coast","Capital & Coast",11,"2011"
"4000","Canterbury","Capital & Coast",107,"2011"
"4001","South Canterbury","Capital & Coast",1,"2011"
"4002","Otago","Capital & Coast",0,"2011"
"4003","Southland","Capital & Coast",38,"2011"
"4004","Unknown","Capital & Coast",11,"2011"
"4005","Northland","Hutt Valley",5,"2011"
"4006","Waitemata","Hutt Valley",9,"2011"
"4007","Auckland","Hutt Valley",18,"2011"
"4008","Counties Manukau","Hutt Valley",6,"2011"
"4009","Waikato","Hutt Valley",20,"2011"
"4010","Lakes","Hutt Valley",6,"2011"
"4011","Bay of Plenty","Hutt Valley",9,"2011"
"4012","Tairawhiti","Hutt Valley",4,"2011"
"4013","Taranaki","Hutt Valley",13,"2011"
"4014","Hawkes Bay","Hutt Valley",28,"2011"
"4015","Mid Central","Hutt Valley",40,"2011"
"4016","Whanganui","Hutt Valley",16,"2011"
"4017","Capital and Coast","Hutt Valley",397,"2011"
"4018","Hutt","Hutt Valley",4092,"2011"
"4019","Wairarapa","Hutt Valley",51,"2011"
"4020","Nelson Marlborough","Hutt Valley",21,"2011"
"4021","West Coast","Hutt Valley",1,"2011"
"4022","Canterbury","Hutt Valley",16,"2011"
"4023","South Canterbury","Hutt Valley",1,"2011"
"4024","Otago","Hutt Valley",0,"2011"
"4025","Southland","Hutt Valley",9,"2011"
"4026","Unknown","Hutt Valley",4,"2011"
"4027","Northland","Wairarapa",0,"2011"
"4028","Waitemata","Wairarapa",2,"2011"
"4029","Auckland","Wairarapa",3,"2011"
"4030","Counties Manukau","Wairarapa",3,"2011"
"4031","Waikato","Wairarapa",4,"2011"
"4032","Lakes","Wairarapa",4,"2011"
"4033","Bay of Plenty","Wairarapa",3,"2011"
"4034","Tairawhiti","Wairarapa",2,"2011"
"4035","Taranaki","Wairarapa",7,"2011"
"4036","Hawkes Bay","Wairarapa",8,"2011"
"4037","Mid Central","Wairarapa",13,"2011"
"4038","Whanganui","Wairarapa",3,"2011"
"4039","Capital and Coast","Wairarapa",32,"2011"
"4040","Hutt","Wairarapa",15,"2011"
"4041","Wairarapa","Wairarapa",875,"2011"
"4042","Nelson Marlborough","Wairarapa",3,"2011"
"4043","West Coast","Wairarapa",1,"2011"
"4044","Canterbury","Wairarapa",7,"2011"
"4045","South Canterbury","Wairarapa",0,"2011"
"4046","Otago","Wairarapa",0,"2011"
"4047","Southland","Wairarapa",3,"2011"
"4048","Unknown","Wairarapa",0,"2011"
"4049","Northland","Nelson Marlborough",17,"2011"
"4050","Waitemata","Nelson Marlborough",10,"2011"
"4051","Auckland","Nelson Marlborough",12,"2011"
"4052","Counties Manukau","Nelson Marlborough",13,"2011"
"4053","Waikato","Nelson Marlborough",22,"2011"
"4054","Lakes","Nelson Marlborough",13,"2011"
"4055","Bay of Plenty","Nelson Marlborough",11,"2011"
"4056","Tairawhiti","Nelson Marlborough",3,"2011"
"4057","Taranaki","Nelson Marlborough",5,"2011"
"4058","Hawkes Bay","Nelson Marlborough",14,"2011"
"4059","Mid Central","Nelson Marlborough",14,"2011"
"4060","Whanganui","Nelson Marlborough",5,"2011"
"4061","Capital and Coast","Nelson Marlborough",41,"2011"
"4062","Hutt","Nelson Marlborough",15,"2011"
"4063","Wairarapa","Nelson Marlborough",2,"2011"
"4064","Nelson Marlborough","Nelson Marlborough",5086,"2011"
"4065","West Coast","Nelson Marlborough",46,"2011"
"4066","Canterbury","Nelson Marlborough",218,"2011"
"4067","South Canterbury","Nelson Marlborough",11,"2011"
"4068","Otago","Nelson Marlborough",0,"2011"
"4069","Southland","Nelson Marlborough",53,"2011"
"4070","Unknown","Nelson Marlborough",12,"2011"
"4071","Northland","West Coast",0,"2011"
"4072","Waitemata","West Coast",3,"2011"
"4073","Auckland","West Coast",5,"2011"
"4074","Counties Manukau","West Coast",3,"2011"
"4075","Waikato","West Coast",7,"2011"
"4076","Lakes","West Coast",3,"2011"
"4077","Bay of Plenty","West Coast",4,"2011"
"4078","Tairawhiti","West Coast",0,"2011"
"4079","Taranaki","West Coast",1,"2011"
"4080","Hawkes Bay","West Coast",2,"2011"
"4081","Mid Central","West Coast",1,"2011"
"4082","Whanganui","West Coast",2,"2011"
"4083","Capital and Coast","West Coast",5,"2011"
"4084","Hutt","West Coast",1,"2011"
"4085","Wairarapa","West Coast",2,"2011"
"4086","Nelson Marlborough","West Coast",40,"2011"
"4087","West Coast","West Coast",1422,"2011"
"4088","Canterbury","West Coast",85,"2011"
"4089","South Canterbury","West Coast",4,"2011"
"4090","Otago","West Coast",0,"2011"
"4091","Southland","West Coast",16,"2011"
"4092","Unknown","West Coast",1,"2011"
"4093","Northland","Canterbury",42,"2011"
"4094","Waitemata","Canterbury",37,"2011"
"4095","Auckland","Canterbury",28,"2011"
"4096","Counties Manukau","Canterbury",35,"2011"
"4097","Waikato","Canterbury",43,"2011"
"4098","Lakes","Canterbury",10,"2011"
"4099","Bay of Plenty","Canterbury",15,"2011"
"4100","Tairawhiti","Canterbury",8,"2011"
"4101","Taranaki","Canterbury",15,"2011"
"4102","Hawkes Bay","Canterbury",15,"2011"
"4103","Mid Central","Canterbury",20,"2011"
"4104","Whanganui","Canterbury",8,"2011"
"4105","Capital and Coast","Canterbury",34,"2011"
"4106","Hutt","Canterbury",17,"2011"
"4107","Wairarapa","Canterbury",7,"2011"
"4108","Nelson Marlborough","Canterbury",145,"2011"
"4109","West Coast","Canterbury",94,"2011"
"4110","Canterbury","Canterbury",10482,"2011"
"4111","South Canterbury","Canterbury",93,"2011"
"4112","Otago","Canterbury",0,"2011"
"4113","Southland","Canterbury",244,"2011"
"4114","Unknown","Canterbury",72,"2011"
"4115","Northland","South Canterbury",3,"2011"
"4116","Waitemata","South Canterbury",9,"2011"
"4117","Auckland","South Canterbury",5,"2011"
"4118","Counties Manukau","South Canterbury",5,"2011"
"4119","Waikato","South Canterbury",6,"2011"
"4120","Lakes","South Canterbury",5,"2011"
"4121","Bay of Plenty","South Canterbury",4,"2011"
"4122","Tairawhiti","South Canterbury",0,"2011"
"4123","Taranaki","South Canterbury",3,"2011"
"4124","Hawkes Bay","South Canterbury",4,"2011"
"4125","Mid Central","South Canterbury",2,"2011"
"4126","Whanganui","South Canterbury",2,"2011"
"4127","Capital and Coast","South Canterbury",6,"2011"
"4128","Hutt","South Canterbury",5,"2011"
"4129","Wairarapa","South Canterbury",0,"2011"
"4130","Nelson Marlborough","South Canterbury",21,"2011"
"4131","West Coast","South Canterbury",5,"2011"
"4132","Canterbury","South Canterbury",204,"2011"
