"","course_code","course_name","domestic_fee","international_fee","start_date","end_date","points","link"
"3440","ASTR332-21S1 (C)","Theoretical and Observational Cosmology","$910.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR332&occurrence=21S1(C)&year=2021"
"3441","ASTR381-21S2 (C)","Advanced Experiments in Physics and Astronomy","$910.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR381&occurrence=21S2(C)&year=2021"
"3442","ASTR391-21S1 (C)","Introductory Astronomy Research","$910.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR391&occurrence=21S1(C)&year=2021"
"3443","ASTR391-21S2 (C)","Introductory Astronomy Research","$910.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR391&occurrence=21S2(C)&year=2021"
"3444","ASTR391-21SU2 (C)","Introductory Astronomy Research","$910.00","$4,438.00","Monday, 15 November 2021","Sunday, 13 February 2022","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR391&occurrence=21SU2(C)&year=2021"
"3445","ASTR422-21S1 (C)","Theoretical and Observational Cosmology","$1,066.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR422&occurrence=21S1(C)&year=2021"
"3446","ASTR423-21S2 (C)","Stellar Structure and Evolution","$1,066.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR423&occurrence=21S2(C)&year=2021"
"3447","ASTR425-21S1 (C)","The Structure and Evolution of Galaxies","$1,066.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR425&occurrence=21S1(C)&year=2021"
"3448","ASTR430-21S1 (C)","Astronomy Literature Review","$1,066.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR430&occurrence=21S1(C)&year=2021"
"3449","ASTR430-21S2 (C)","Astronomy Literature Review","$1,066.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR430&occurrence=21S2(C)&year=2021"
"3450","ASTR430-21W (C)","Astronomy Literature Review","$1,066.00","NULL","Monday, 22 February 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR430&occurrence=21W(C)&year=2021"
"3451","ASTR480-21A (C)","Astronomy Research Project","$2,131.00","NULL","NULL","NULL","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR480&occurrence=21A(C)&year=2021"
"3452","ASTR690-21A (C)","MSc Thesis","$8,035.00","NULL","NULL","NULL","120 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR690&occurrence=21A(C)&year=2021"
"3453","ASTR790-21A (C)","Astronomy PhD","$8,035.00","NULL","NULL","NULL","120 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR790&occurrence=21A(C)&year=2021"
"3454","COSC131-21S1 (C)","Introduction to Programming for Engineers","$877.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=COSC131&occurrence=21S1(C)&year=2021"
"3455","COSC131-21S1 (D)","Introduction to Programming for Engineers","$877.00","$4,438.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=COSC131&occurrence=21S1(D)&year=2021"
"3456","COSC131-21S2 (C)","Introduction to Programming for Engineers","$877.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=COSC131&occurrence=21S2(C)&year=2021"
"3457","COSC131-21S2 (D)","Introduction to Programming for Engineers","$877.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=COSC131&occurrence=21S2(D)&year=2021"
"3458","COSC131-21SU2 (C)","Introduction to Programming for Engineers","$877.00","$4,438.00","Monday, 15 November 2021","Sunday, 13 February 2022","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=COSC131&occurrence=21SU2(C)&year=2021"
"3459","PHYS381-21S2 (C)","Advanced Experimental Physics and Astronomy","$910.00","$4,438.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=PHYS381&occurrence=21S2(C)&year=2021"
"3460","ASTR212","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR212&year=2021"
"3461","ASTR324","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR324&year=2021"
"3462","ASTR325","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR325&year=2021"
"3463","ASTR427","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ASTR427&year=2021"
"3464","PHYS109","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=PHYS109&year=2021"
"3465","APSY601-21W (D)","Employee Recruitment, Selection and Induction","$2,066.00","NULL","Monday, 22 February 2021","Sunday, 14 November 2021","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY601&occurrence=21W(D)&year=2021"
"3466","APSY612-21S2 (D)","Performance Management and Appraisal","$1,033.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY612&occurrence=21S2(D)&year=2021"
"3467","APSY614-21S1 (D)","Leadership and Motivation in Organisations","$1,033.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY614&occurrence=21S1(D)&year=2021"
"3468","APSY615-21S2 (D)","Organisational Development","$1,033.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY615&occurrence=21S2(D)&year=2021"
"3469","APSY617-21S2 (D)","Industrial and Organisational Psychology Measurement Issues","$1,033.00","NULL","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY617&occurrence=21S2(D)&year=2021"
"3470","APSY618-21S1 (C)","Organisational Change: Directions for I/O Psychology Practice","$1,033.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY618&occurrence=21S1(C)&year=2021"
"3471","APSY619-21S1 (D)","Psychology of Stress, Health, and Wellbeing at Work","$1,033.00","NULL","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY619&occurrence=21S1(D)&year=2021"
"3472","APSY660-21A (C)","Dissertation","$5,826.00","NULL","NULL","NULL","90 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY660&occurrence=21A(C)&year=2021"
"3473","APSY790-21A (C)","Applied Psychology PhD","$7,768.00","NULL","NULL","NULL","120 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY790&occurrence=21A(C)&year=2021"
"3474","APSY601","NULL","NULL","NULL","NULL","NULL","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY601&year=2021"
"3475","APSY607","NULL","NULL","NULL","NULL","NULL","30 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY607&year=2021"
"3476","APSY612","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY612&year=2021"
"3477","APSY613","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY613&year=2021"
"3478","APSY614","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY614&year=2021"
"3479","APSY615","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY615&year=2021"
"3480","APSY617","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY617&year=2021"
"3481","APSY619","NULL","NULL","NULL","NULL","NULL","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=APSY619&year=2021"
"3482","ACCT102-21S1 (C)","Accounting and Financial Information","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT102&occurrence=21S1(C)&year=2021"
"3483","ACCT102-21S2 (C)","Accounting and Financial Information","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT102&occurrence=21S2(C)&year=2021"
"3484","ACCT103-21S1 (C)","Accounting and Taxation: An Introduction","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT103&occurrence=21S1(C)&year=2021"
"3485","ACCT103-21S2 (C)","Accounting and Taxation: An Introduction","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT103&occurrence=21S2(C)&year=2021"
"3486","ACCT103-21S2 (D)","Accounting and Taxation: An Introduction","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT103&occurrence=21S2(D)&year=2021"
"3487","ACCT152-21S1 (C)","Law and Business","$831.00","$4,200.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT152&occurrence=21S1(C)&year=2021"
"3488","ACCT211-21S2 (C)","Financial Accounting","$831.00","$3,875.00","Monday, 19 July 2021","Sunday, 14 November 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT211&occurrence=21S2(C)&year=2021"
"3489","ACCT222-21S1 (C)","Management Accounting","$831.00","$3,875.00","Monday, 22 February 2021","Sunday, 27 June 2021","15 points","https://www.canterbury.ac.nz/courseinfo/GetCourseDetails.aspx?course=ACCT222&occurrence=21S1(C)&year=2021"
